vendor_guid,object_type,title,description,display_name,calculation_method,calculation_int,workflow_state,parent_guids,mastery_points,ratings,,,,,,,
C3.6-8.5,outcome,C3.6-8.5,Identify early examples of foreign policy between the United States and other nations.,C3.6-8.5,highest,,active,C3,3,4,Explains early examples of U.S. foreign policy accurately and connects it to another example or to today.,3,"Explains early examples of U.S. foreign policy accurately, using specific evidence.",2,"Identifies early examples of U.S. foreign policy, but the explanation is partial or missing evidence.",1,Names early examples of U.S. foreign policy with support; cannot yet explain it independently.
C3.6-8.6,outcome,C3.6-8.6,Analyze how the United States has interacted with other countries.,C3.6-8.6,highest,,active,C3,3,4,Analyzes how the U.S. has interacted with other countries and explains how the parts or perspectives connect.,3,Analyzes how the U.S. has interacted with other countries using specific evidence.,2,"Describes how the U.S. has interacted with other countries, but the analysis is partial.",1,Retells how the U.S. has interacted with other countries without analysis; needs support.
C4,group,C4: Understands civic involvement.,,,,,active,WA-SS-CIVICS,,,,,,,,,
C4.6-8.4,outcome,C4.6-8.4,Analyze how a claim on an issue attempts to balance individual rights and the common good.,C4.6-8.4,highest,,active,C4,3,4,Analyzes how a claim balances individual rights and the common good and explains how the parts or perspectives connect.,3,Analyzes how a claim balances individual rights and the common good using specific evidence.,2,"Describes how a claim balances individual rights and the common good, but the analysis is partial.",1,Retells how a claim balances individual rights and the common good without analysis; needs support.
C4.6-8.5,outcome,C4.6-8.5,Employ strategies for civic involvement that address a national issue.,C4.6-8.5,highest,,active,C4,3,4,"Plans and carries out a civic action on a national issue, with a clear claim and audience.",3,"Employs a civic-action strategy on a national issue, supported with evidence.",2,"Proposes an action on a national issue, but the plan or claim is vague.",1,Begins planning a civic action with support.
WA-SS-ECONOMICS,group,Economics,,,,,active,,,,,,,,,,
E1,group,E1: Understands that people have to make choices between wants and needs and evaluates the outcomes of those choices.,,,,,active,WA-SS-ECONOMICS,,,,,,,,,
E1.6-8.3,outcome,E1.6-8.3,Analyze examples of how groups and individuals have considered profit and personal values in making economic choices in the past or present.,E1.6-8.3,highest,,active,E1,3,4,Analyzes how groups weighed profit against their values in an economic choice and explains how the parts or perspectives connect.,3,Analyzes how groups weighed profit against their values in an economic choice using specific evidence.,2,"Describes how groups weighed profit against their values in an economic choice, but the analysis is partial.",1,Retells how groups weighed profit against their values in an economic choice without analysis; needs support.
E2,group,E2: Understands how economic systems function.,,,,,active,WA-SS-ECONOMICS,,,,,,,,,
E2.6-8.5,outcome,E2.6-8.5,"Analyze how the forces of supply and demand have affected the production, distribution, and consumption of goods, services, and resources in the United States in the past or present.",E2.6-8.5,highest,,active,E2,3,4,Analyzes how supply and demand shaped what the U.S. produced and consumed and explains how the parts or perspectives connect.,3,Analyzes how supply and demand shaped what the U.S. produced and consumed using specific evidence.,2,"Describes how supply and demand shaped what the U.S. produced and consumed, but the analysis is partial.",1,Retells how supply and demand shaped what the U.S. produced and consumed without analysis; needs support.
E2.6-8.6,outcome,E2.6-8.6,Analyze how the forces of supply and demand have affected international trade in the United States in the past or present.,E2.6-8.6,highest,,active,E2,3,4,Analyzes how supply and demand shaped U.S. international trade and explains how the parts or perspectives connect.,3,Analyzes how supply and demand shaped U.S. international trade using specific evidence.,2,"Describes how supply and demand shaped U.S. international trade, but the analysis is partial.",1,Retells how supply and demand shaped U.S. international trade without analysis; needs support.
E3,group,E3: Understands the government’s role in the economy.,,,,,active,WA-SS-ECONOMICS,,,,,,,,,
E3.6-8.3,outcome,E3.6-8.3,"Analyze the influence of the U.S. government’s taxation, creation of currency, and tariffs in the past or present.",E3.6-8.3,highest,,active,E3,3,4,"Analyzes the effects of U.S. taxes, currency, and tariffs and explains how the parts or perspectives connect.",3,"Analyzes the effects of U.S. taxes, currency, and tariffs using specific evidence.",2,"Describes the effects of U.S. taxes, currency, and tariffs, but the analysis is partial.",1,"Retells the effects of U.S. taxes, currency, and tariffs without analysis; needs support."
E4,group,E4: Understands the economic issues and problems that all societies face.,,,,,active,WA-SS-ECONOMICS,,,,,,,,,
E4.6-8.5,outcome,E4.6-8.5,Analyze the distribution of wealth and sustainability of resources in the United States.,E4.6-8.5,highest,,active,E4,3,4,Analyzes how wealth and resources were distributed in the U.S. and explains how the parts or perspectives connect.,3,Analyzes how wealth and resources were distributed in the U.S. using specific evidence.,2,"Describes how wealth and resources were distributed in the U.S., but the analysis is partial.",1,Retells how wealth and resources were distributed in the U.S. without analysis; needs support.
E4.6-8.6,outcome,E4.6-8.6,"Explain the costs and benefits of trade policies to individuals, businesses, and society in the United States.",E4.6-8.6,highest,,active,E4,3,4,Explains the costs and benefits of U.S. trade policies accurately and connects it to another example or to today.,3,"Explains the costs and benefits of U.S. trade policies accurately, using specific evidence.",2,"Identifies the costs and benefits of U.S. trade policies, but the explanation is partial or missing evidence.",1,Names the costs and benefits of U.S. trade policies with support; cannot yet explain it independently.
WA-SS-GEOGRAPHY,group,Geography,,,,,active,,,,,,,,,,
G1,group,"G1: Understands the physical characteristics, cultural characteristics, and location of places, regions, and spatial patterns on the Earth’s surface.",,,,,active,WA-SS-GEOGRAPHY,,,,,,,,,
G1.6-8.5,outcome,G1.6-8.5,Explain and analyze physical and cultural characteristics of places and regions in the United States.,G1.6-8.5,highest,,active,G1,3,4,Explains the physical and cultural features of U.S. regions accurately and connects it to another example or to today.,3,"Explains the physical and cultural features of U.S. regions accurately, using specific evidence.",2,"Identifies the physical and cultural features of U.S. regions, but the explanation is partial or missing evidence.",1,Names the physical and cultural features of U.S. regions with support; cannot yet explain it independently.
G1.6-8.6,outcome,G1.6-8.6,"Use maps, satellite images, photographs, and other representations to explain relationships between the locations of places and regions and their political, cultural, and economic dynamics.",G1.6-8.6,highest,,active,G1,3,4,"Uses maps and images to explain political, cultural, and economic patterns and draws a conclusion from the pattern.",3,"Uses maps and images to explain political, cultural, and economic patterns clearly.",2,"Reads maps and images, but the explanation of political, cultural, and economic patterns is partial.",1,Identifies map and image features with support.
G2,group,G2: Understands human interaction with the environment.,,,,,active,WA-SS-GEOGRAPHY,,,,,,,,,
G2.6-8.6,outcome,G2.6-8.6,Analyze how the environment has affected people and how people have affected the environment in the United States in the past or present.,G2.6-8.6,highest,,active,G2,3,4,Analyzes how people and the environment shaped each other in the U.S. and explains how the parts or perspectives connect.,3,Analyzes how people and the environment shaped each other in the U.S. using specific evidence.,2,"Describes how people and the environment shaped each other in the U.S., but the analysis is partial.",1,Retells how people and the environment shaped each other in the U.S. without analysis; needs support.
G2.6-8.7,outcome,G2.6-8.7,Explain cultural diffusion in the United States from the past or in the present.,G2.6-8.7,highest,,active,G2,3,4,Explains examples of cultural diffusion in the U.S. accurately and connects it to another example or to today.,3,"Explains examples of cultural diffusion in the U.S. accurately, using specific evidence.",2,"Identifies examples of cultural diffusion in the U.S., but the explanation is partial or missing evidence.",1,Names examples of cultural diffusion in the U.S. with support; cannot yet explain it independently.
G2.6-8.8,outcome,G2.6-8.8,Explain and analyze migration as a catalyst for the growth of the United States in the past or present.,G2.6-8.8,highest,,active,G2,3,4,Explains how migration drove the growth of the U.S. accurately and connects it to another example or to today.,3,"Explains how migration drove the growth of the U.S. accurately, using specific evidence.",2,"Identifies how migration drove the growth of the U.S., but the explanation is partial or missing evidence.",1,Names how migration drove the growth of the U.S. with support; cannot yet explain it independently.
G3,group,G3: Understands the geographic context of global issues and events.,,,,,active,WA-SS-GEOGRAPHY,,,,,,,,,
G3.6-8.3,outcome,G3.6-8.3,"Explain how learning about the geography of the United States helps us understand global issues such as diversity, trade, and sustainability.",G3.6-8.3,highest,,active,G3,3,4,"Explains how U.S. geography connects to diversity, trade, and sustainability accurately and connects it to another example or to today.",3,"Explains how U.S. geography connects to diversity, trade, and sustainability accurately, using specific evidence.",2,"Identifies how U.S. geography connects to diversity, trade, and sustainability, but the explanation is partial or missing evidence.",1,"Names how U.S. geography connects to diversity, trade, and sustainability with support; cannot yet explain it independently."
WA-SS-HISTORY,group,History,,,,,active,,,,,,,,,,
H1,group,H1: Understands historical chronology.,,,,,active,WA-SS-HISTORY,,,,,,,,,
H1.6-8.6,outcome,H1.6-8.6,"Explain how themes and developments help to define eras in United States history from 1763 to 1877, including: Fighting for independence (1763-1783); Establishing the new nation (1781-1815); Slavery, expansion, removal, and reform (1801-1850); Civil War and Reconstruction (1850-1877)",H1.6-8.6,highest,,active,H1,3,4,Explains how themes and events define the U.S. eras from 1763 to 1877 accurately and connects it to another example or to today.,3,"Explains how themes and events define the U.S. eras from 1763 to 1877 accurately, using specific evidence.",2,"Identifies how themes and events define the U.S. eras from 1763 to 1877, but the explanation is partial or missing evidence.",1,Names how themes and events define the U.S. eras from 1763 to 1877 with support; cannot yet explain it independently.
H2,group,H2: Understands and analyzes causal factors that have shaped major events in history.,,,,,active,WA-SS-HISTORY,,,,,,,,,
H2.6-8.5,outcome,H2.6-8.5,Explain and analyze how individuals and movements have shaped United States history (1763-1877).,H2.6-8.5,highest,,active,H2,3,4,Analyzes how individuals and movements shaped U.S. history and explains how the parts or perspectives connect.,3,Analyzes how individuals and movements shaped U.S. history using specific evidence.,2,"Describes how individuals and movements shaped U.S. history, but the analysis is partial.",1,Retells how individuals and movements shaped U.S. history without analysis; needs support.
H2.6-8.6,outcome,H2.6-8.6,Explain and analyze how cultures and cultural and ethnic groups have contributed to United States history (1763-1877).,H2.6-8.6,highest,,active,H2,3,4,Analyzes how cultures and ethnic groups shaped U.S. history and explains how the parts or perspectives connect.,3,Analyzes how cultures and ethnic groups shaped U.S. history using specific evidence.,2,"Describes how cultures and ethnic groups shaped U.S. history, but the analysis is partial.",1,Retells how cultures and ethnic groups shaped U.S. history without analysis; needs support.
H2.6-8.7,outcome,H2.6-8.7,Explain and analyze how technology and ideas have impacted United States history (1763-1877).,H2.6-8.7,highest,,active,H2,3,4,Analyzes how technology and ideas shaped U.S. history and explains how the parts or perspectives connect.,3,Analyzes how technology and ideas shaped U.S. history using specific evidence.,2,"Describes how technology and ideas shaped U.S. history, but the analysis is partial.",1,Retells how technology and ideas shaped U.S. history without analysis; needs support.
H3,group,H3: Understands that there are multiple perspectives and interpretations of historical events.,,,,,active,WA-SS-HISTORY,,,,,,,,,
H3.6-8.4,outcome,H3.6-8.4,Analyze and interpret historical materials from a variety of perspectives in United States history (1763-1877).,H3.6-8.4,highest,,active,H3,3,4,Analyzes historical sources from a variety of perspectives and explains how the parts or perspectives connect.,3,Analyzes historical sources from a variety of perspectives using specific evidence.,2,"Describes historical sources from a variety of perspectives, but the analysis is partial.",1,Retells historical sources from a variety of perspectives without analysis; needs support.
H3.6-8.5,outcome,H3.6-8.5,Analyze multiple causal factors to create positions on major events in United States history (1763-1877).,H3.6-8.5,highest,,active,H3,3,4,"Constructs a position on the causes of a major event, defends it with evidence, and answers a counterargument.",3,Constructs a clear position on the causes of a major event supported with evidence.,2,States a position on the causes of a major event; evidence or reasoning is incomplete.,1,Begins a position on the causes of a major event with support.
H4,group,H4: Understands how historical events inform analysis of contemporary issues and events.,,,,,active,WA-SS-HISTORY,,,,,,,,,
H4.6-8.3,outcome,H4.6-8.3,Analyze how a historical event in United States history helps us to understand contemporary issues and events.,H4.6-8.3,highest,,active,H4,3,4,Explains how a past event helps us understand a current issue accurately and connects it to another example or to today.,3,"Explains how a past event helps us understand a current issue accurately, using specific evidence.",2,"Identifies how a past event helps us understand a current issue, but the explanation is partial or missing evidence.",1,Names how a past event helps us understand a current issue with support; cannot yet explain it independently.
WA-SS-SKILLS,group,Social Studies Skills,,,,,active,,,,,,,,,,
SSS1,group,SSS1: Uses critical reasoning skills to analyze and evaluate claims.,,,,,active,WA-SS-SKILLS,,,,,,,,,
SSS1.6-8.1,outcome,SSS1.6-8.1,Analyze positions and evidence supporting an issue or an event.,SSS1.6-8.1,highest,,active,SSS1,3,4,Analyzes the positions and evidence behind an issue or event and explains how the parts or perspectives connect.,3,Analyzes the positions and evidence behind an issue or event using specific evidence.,2,"Describes the positions and evidence behind an issue or event, but the analysis is partial.",1,Retells the positions and evidence behind an issue or event without analysis; needs support.
SSS1.6-8.2,outcome,SSS1.6-8.2,Evaluate the logic of reasons for a position on an issue or event.,SSS1.6-8.2,highest,,active,SSS1,3,4,Evaluates the logic of the reasons given for a position and weighs more than one side before judging.,3,"Evaluates the logic of the reasons given for a position with a clear, evidence-based judgment.",2,States a judgment about the logic of the reasons given for a position with limited evidence.,1,Gives an opinion on the logic of the reasons given for a position without evidence; needs support.
SSS2,group,SSS2: Uses inquiry-based research.,,,,,active,WA-SS-SKILLS,,,,,,,,,
SSS2.6-8.1,outcome,SSS2.6-8.1,Create and use research questions to guide inquiry on an issue or event.,SSS2.6-8.1,highest,,active,SSS2,3,4,"creates and uses research questions to guide inquiry, and judges source reliability to seek stronger evidence.",3,"creates and uses research questions to guide inquiry using credible, relevant sources.",2,creates and uses research questions to guide inquiry with limited or unevaluated sources.,1,Begins creates and uses research questions to guide inquiry with support.
SSS2.6-8.2,outcome,SSS2.6-8.2,"Evaluate the breadth, reliability, and credibility of primary and secondary sources to determine the need for new or additional information when researching an issue or event.",SSS2.6-8.2,highest,,active,SSS2,3,4,"researches and weighs the reliability of sources, and judges source reliability to seek stronger evidence.",3,"researches and weighs the reliability of sources using credible, relevant sources.",2,researches and weighs the reliability of sources with limited or unevaluated sources.,1,Begins researches and weighs the reliability of sources with support.
SSS3,group,SSS3: Deliberates public issues.,,,,,active,WA-SS-SKILLS,,,,,,,,,
SSS3.6-8.1,outcome,SSS3.6-8.1,"Engage in discussion, analyzing multiple viewpoints on public issues.",SSS3.6-8.1,highest,,active,SSS3,3,4,"Deliberates a public issue, builds on others' ideas, and weighs multiple viewpoints.",3,Deliberates a public issue using evidence and more than one viewpoint.,2,Shares a view on a public issue but engages only one side.,1,Participates in discussion with support.
SSS4,group,"SSS4: Creates a product that uses social studies content to support a thesis, and presents the product in an appropriate manner to a meaningful audience.",,,,,active,WA-SS-SKILLS,,,,,,,,,
SSS4.6-8.1,outcome,SSS4.6-8.1,"Analyze multiple factors, make generalizations, and interpret sources to formulate a thesis in a paper or presentation, while observing rules related to plagiarism and copyright.",SSS4.6-8.1,highest,,active,SSS4,3,4,"Builds a thesis-driven paper or presentation, fully developed, with a clear thesis and well-integrated evidence.",3,Builds a thesis-driven paper or presentation with a clear thesis and cited evidence.,2,Attempts a thesis-driven paper or presentation; thesis or evidence is incomplete.,1,Begins a thesis-driven paper or presentation with support.
SSS4.6-8.2,outcome,SSS4.6-8.2,"Use appropriate format to cite sources within an essay, presentation, and reference page.",SSS4.6-8.2,highest,,active,SSS4,3,4,"Cites every source correctly, both in the text and on a reference page.",3,Cites sources correctly using the required format.,2,Cites some sources; the format is inconsistent.,1,Attempts citation with support.
